LOAD ASR VALUES
Min1 1.41
Max1 21.71
Min2 0.35
Max2 17.0
Min3 0.44
Max3 17.0
avgMin 0.73
avgMax 18.57
q1 5.19
q2 9.65
q3 14.11
--- ORDERING PAIRS TASK ----
STIMULI PAIR: MIN, MIN
Applying pair: 0.73, 0.73
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MID
Applying pair: 0.73, 9.65
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MAX
Applying pair: 0.73, 18.57
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MIN
Applying pair: 9.65, 0.73
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MID
Applying pair: 9.65, 9.65
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MAX
Applying pair: 9.65, 18.57
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MIN
Applying pair: 18.57, 0.73
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MID
Applying pair: 18.57, 9.65
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MAX
Applying pair: 18.57, 18.57
STIMULUS PAIR APPLIED, DONE
