LOAD ASR VALUES
Min1 0.7
Max1 17.0
Min2 0.7
Max2 17.0
Min3 0.7
Max3 15.0
avgMin 0.7
avgMax 16.33
q1 4.61
q2 8.51
q3 12.42
--- ORDERING PAIRS TASK ----
STIMULI PAIR: MAX, MIN
Applying pair: 16.33, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MIN
Applying pair: 16.33, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MIN
Applying pair: 0.7, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MID
Applying pair: 0.7, 8.51
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MAX
Applying pair: 0.7, 16.33
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MID
Applying pair: 0.7, 8.51
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MIN
Applying pair: 8.51, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MID
Applying pair: 0.7, 8.51
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MIN
Applying pair: 8.51, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MID
Applying pair: 8.51, 8.51
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MAX
Applying pair: 8.51, 16.33
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MIN
Applying pair: 16.33, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MID
Applying pair: 16.33, 8.51
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MAX, MAX
Applying pair: 16.33, 16.33
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MIN
Applying pair: 0.7, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MIN
Applying pair: 0.7, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MIN, MIN
Applying pair: 0.7, 0.7
STIMULUS PAIR APPLIED, DONE
STIMULI PAIR: MID, MAX
Applying pair: 8.51, 16.33
STIMULUS PAIR APPLIED, DONE
